epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2170.69,1.56215,1.23475,1.25065,0.73534,0.70171,0.73682,0.40031,1.564,1.12225,1.29359,0.00132868,0.00132868,0.00132868
43,2222.5,1.5367,1.20042,1.23877,0.74798,0.65312,0.72823,0.40603,1.52339,1.08986,1.27324,0.00132043,0.00132043,0.00132043
44,2274.32,1.51712,1.20886,1.23645,0.7489,0.68931,0.74855,0.40537,1.55623,1.09199,1.28685,0.00131218,0.00131218,0.00131218
45,2327.16,1.51043,1.20752,1.23397,0.75565,0.63809,0.73024,0.38957,1.6012,1.10159,1.29277,0.00130393,0.00130393,0.00130393
46,2379.1,1.51347,1.21019,1.23589,0.70728,0.67997,0.72545,0.39709,1.54582,1.09586,1.28068,0.00129568,0.00129568,0.00129568
47,2433.66,1.4974,1.21795,1.22593,0.77809,0.66707,0.75851,0.41414,1.55785,1.1068,1.28136,0.00128742,0.00128742,0.00128742
48,2485.29,1.49412,1.17728,1.22187,0.7661,0.68141,0.77027,0.42621,1.53886,1.07294,1.29061,0.00127917,0.00127917,0.00127917
49,2538.44,1.50499,1.18056,1.22573,0.72686,0.67306,0.7417,0.40159,1.52991,1.10698,1.26803,0.00127092,0.00127092,0.00127092
50,2589.85,1.50255,1.16077,1.2225,0.76314,0.67812,0.76389,0.44085,1.49049,1.08086,1.25846,0.00126267,0.00126267,0.00126267
51,2641.37,1.50213,1.1713,1.22514,0.76025,0.66836,0.75458,0.41812,1.513,1.09324,1.25921,0.00125442,0.00125442,0.00125442
52,2693.34,1.501,1.16395,1.22739,0.75741,0.70307,0.76846,0.42957,1.49899,1.04033,1.26264,0.00124617,0.00124617,0.00124617
53,2744.86,1.48143,1.15753,1.21336,0.80719,0.67944,0.77782,0.43461,1.49815,1.07308,1.26049,0.00123791,0.00123791,0.00123791
54,2796.56,1.4756,1.1496,1.20935,0.77065,0.67899,0.76488,0.41851,1.54716,1.08686,1.27824,0.00122966,0.00122966,0.00122966
55,2848.42,1.50837,1.1634,1.22208,0.7582,0.65195,0.75006,0.40034,1.54261,1.10156,1.28201,0.00122141,0.00122141,0.00122141
56,2899.85,1.47834,1.16928,1.22346,0.80173,0.70209,0.7876,0.4317,1.51039,1.00174,1.25906,0.00121316,0.00121316,0.00121316
57,2951.49,1.46724,1.16212,1.20289,0.787,0.6974,0.77453,0.4237,1.52747,1.01313,1.26715,0.00120491,0.00120491,0.00120491
58,3003.96,1.4578,1.12138,1.20232,0.80349,0.69933,0.77361,0.43737,1.48276,1.04975,1.25252,0.00119666,0.00119666,0.00119666
59,3056.2,1.46082,1.13647,1.20257,0.77829,0.67954,0.7606,0.40878,1.55064,1.03445,1.26295,0.0011884,0.0011884,0.0011884
60,3107.79,1.46395,1.16213,1.21395,0.7911,0.71401,0.79311,0.43845,1.5135,1.00945,1.26459,0.00118015,0.00118015,0.00118015
61,3159.34,1.47021,1.14393,1.20766,0.76099,0.74534,0.78991,0.44801,1.45955,1.03977,1.23574,0.0011719,0.0011719,0.0011719
62,3210.98,1.47759,1.14191,1.20835,0.73947,0.72039,0.76321,0.41394,1.53413,1.00545,1.26156,0.00116365,0.00116365,0.00116365
63,3262.51,1.46818,1.10974,1.20409,0.75112,0.74162,0.78771,0.44545,1.457,0.9951,1.23297,0.0011554,0.0011554,0.0011554
64,3314.06,1.45789,1.12178,1.19693,0.80994,0.68831,0.79397,0.4397,1.49396,0.98688,1.24971,0.00114715,0.00114715,0.00114715
65,3368.44,1.44432,1.1143,1.19286,0.77587,0.71733,0.77904,0.4234,1.5168,1.0003,1.25892,0.00113889,0.00113889,0.00113889
66,3430.75,1.45567,1.11489,1.20107,0.7803,0.70857,0.78083,0.43334,1.49723,1.00143,1.25445,0.00113064,0.00113064,0.00113064
67,3491.23,1.41646,1.08573,1.19083,0.8007,0.6868,0.77171,0.43415,1.46577,1.00774,1.23471,0.00112239,0.00112239,0.00112239
68,3550.14,1.42744,1.08269,1.1924,0.82401,0.7004,0.79268,0.44335,1.46236,0.97863,1.23962,0.00111414,0.00111414,0.00111414
69,3608.03,1.44695,1.09518,1.19795,0.76604,0.71692,0.77371,0.44031,1.45662,0.97934,1.24134,0.00110589,0.00110589,0.00110589
70,3664.89,1.41914,1.07768,1.1933,0.79611,0.7306,0.80047,0.45324,1.4692,0.96588,1.23681,0.00109764,0.00109764,0.00109764
71,3724.53,1.45117,1.0941,1.19807,0.80209,0.71468,0.78742,0.44717,1.46796,0.9669,1.23597,0.00108938,0.00108938,0.00108938
72,3781.67,1.41766,1.07911,1.19141,0.81001,0.72529,0.79793,0.44665,1.47883,0.96546,1.25054,0.00108113,0.00108113,0.00108113
73,3855.16,1.42146,1.06203,1.18157,0.78352,0.70645,0.78733,0.435,1.51258,1.02389,1.25489,0.00107288,0.00107288,0.00107288
74,3945.21,1.43591,1.06286,1.19325,0.8016,0.71683,0.80231,0.46356,1.44833,0.94899,1.22959,0.00106463,0.00106463,0.00106463
75,4034.27,1.41392,1.07171,1.17816,0.80666,0.73737,0.80758,0.45759,1.45585,0.93542,1.25193,0.00105638,0.00105638,0.00105638
