epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
178,12754.9,1.20956,0.82831,1.08998,0.85004,0.81533,0.87598,0.54035,1.29067,0.72805,1.13797,0.000206458,0.000206458,0.000206458
179,12806.8,1.18169,0.80396,1.08535,0.84448,0.82648,0.87793,0.54382,1.28523,0.72589,1.13816,0.000198206,0.000198206,0.000198206
180,12860.5,1.18341,0.80897,1.08443,0.83969,0.8142,0.8725,0.53962,1.28939,0.73582,1.14084,0.000189955,0.000189955,0.000189955
181,12912.7,1.20137,0.82725,1.08925,0.8566,0.80446,0.87371,0.54156,1.28627,0.73111,1.13917,0.000181703,0.000181703,0.000181703
182,12971.4,1.19475,0.81828,1.09364,0.84547,0.81548,0.87871,0.54643,1.28071,0.72791,1.13736,0.000173451,0.000173451,0.000173451
183,13025,1.21428,0.84786,1.09248,0.8545,0.81546,0.88134,0.54539,1.28479,0.72134,1.13576,0.0001652,0.0001652,0.0001652
184,13076.2,1.19193,0.82024,1.08944,0.85393,0.80625,0.87586,0.54182,1.29205,0.73446,1.14102,0.000156948,0.000156948,0.000156948
185,13128.2,1.19357,0.80448,1.08353,0.85562,0.81041,0.87629,0.54046,1.29338,0.73387,1.14086,0.000148696,0.000148696,0.000148696
186,13185.4,1.19363,0.82121,1.09088,0.83814,0.80599,0.86995,0.5401,1.29211,0.73758,1.14115,0.000140445,0.000140445,0.000140445
187,13238.5,1.19068,0.79984,1.08318,0.85168,0.81055,0.87445,0.54484,1.28147,0.7307,1.13486,0.000132193,0.000132193,0.000132193
188,13290,1.18412,0.80301,1.07761,0.86587,0.80017,0.87864,0.54854,1.27266,0.72603,1.13133,0.000123941,0.000123941,0.000123941
189,13341,1.18763,0.80029,1.08379,0.86242,0.80743,0.8791,0.54368,1.28228,0.73201,1.13478,0.00011569,0.00011569,0.00011569
190,13392,1.16927,0.80114,1.07703,0.86939,0.79914,0.87762,0.54398,1.28408,0.7332,1.13729,0.000107438,0.000107438,0.000107438
191,13442.7,1.0785,0.70604,1.04086,0.8312,0.8216,0.8731,0.54531,1.26499,0.73469,1.13531,9.91865e-05,9.91865e-05,9.91865e-05
192,13495.9,1.09571,0.67067,1.0568,0.83381,0.81694,0.87221,0.5488,1.26166,0.73698,1.13569,9.09349e-05,9.09349e-05,9.09349e-05
193,13545.1,1.07612,0.70459,1.03625,0.83968,0.80938,0.87316,0.54977,1.26217,0.73841,1.13377,8.26832e-05,8.26832e-05,8.26832e-05
194,13594.9,1.05892,0.66857,1.02856,0.85671,0.80474,0.87908,0.55554,1.25328,0.72688,1.12768,7.44316e-05,7.44316e-05,7.44316e-05
195,13645.2,1.05244,0.65676,1.02831,0.85986,0.80134,0.87872,0.55565,1.25178,0.72809,1.12713,6.61799e-05,6.61799e-05,6.61799e-05
196,13694.9,1.08081,0.6515,1.05435,0.86352,0.79804,0.87947,0.55734,1.24899,0.72571,1.12666,5.79283e-05,5.79283e-05,5.79283e-05
197,13745,1.05912,0.66285,1.02433,0.8555,0.8175,0.88064,0.5573,1.25138,0.72724,1.12693,4.96766e-05,4.96766e-05,4.96766e-05
198,13787.1,1.03546,0.6679,1.01808,0.86073,0.81028,0.88069,0.55709,1.2547,0.7275,1.12691,4.1425e-05,4.1425e-05,4.1425e-05
199,13830.7,1.05772,0.64106,1.02611,0.86404,0.802,0.8804,0.55737,1.25498,0.7285,1.12614,3.31733e-05,3.31733e-05,3.31733e-05
200,13873.6,1.03057,0.6397,1.02101,0.86261,0.80672,0.88077,0.55849,1.25007,0.72466,1.12306,2.49217e-05,2.49217e-05,2.49217e-05
